stdntid,gkschid,Z,D,gkclasssize,g1classsize,gender,race,gkfreelunch,age_kentry,gkrepeat,gkspeced,gksurban,gktreadss,gktmathss,gkreadmath,g1treadss,g1tmathss,g1readmath
10133,169280,0,0,22,25,1,0,0,5.308333397,0,0,2,427,478,905,487,549,1036
10246,218562,0,0,17,24,0,1,0,5.794444561,0,0,4,450,494,944,579,572,1151
10263,205492,1,1,17,18,0,0,1,6.991666794,0,0,2,483,513,996,512,562,1074
10275,161176,0,0,24,26,1,1,0,6.811110973,0,0,3,411,468,879,450,486,936
10281,189382,1,1,13,17,1,1,0,6.991666794,0,0,2,443,473,916,495,526,1021
10282,189382,0,0,24,22,1,1,1,7.050000191,0,0,2,448,449,897,544,523,1067
10285,201449,1,1,14,17,0,1,1,7.061110973,0,0,3,463,520,983,533,549,1082
10286,230612,0,0,23,20,1,1,0,6.955555439,0,0,3,472,536,1008,509,526,1035
10291,169229,0,0,24,21,1,1,0,7.027777672,0,0,2,422,439,861,468,518,986
10295,161176,1,0,17,26,0,1,1,5.824999809,0,0,3,437,463,900,629,520,1149
10299,168211,0,1,24,17,0,1,0,5.088889122,0,0,3,450,484,934,NA,510,NA
10300,173312,0,0,22,20,0,1,0,5.699999809,0,0,3,497,547,1044,558,572,1130
10303,244831,0,1,22,15,1,1,0,5.502777576,0,0,2,408,449,857,456,484,940
10306,244728,1,1,17,13,1,0,0,5.263888836,0,0,1,NA,NA,NA,519,523,1042
10312,244755,0,0,20,23,1,0,0,5.508333206,0,0,1,411,444,855,516,493,1009
10313,218562,1,1,14,13,1,1,1,5.525000095,0,0,4,490,559,1049,590,592,1182
10316,262937,1,1,14,15,0,1,0,5.569444656,0,0,2,503,576,1079,579,627,1206
10318,161183,0,0,23,22,0,1,0,5.611111164,0,0,3,NA,NA,NA,604,572,1176
10322,212522,0,1,21,16,0,1,0,5.736111164,0,0,4,403,459,862,459,472,931
10329,262937,0,0,19,23,0,1,0,5.127777576,0,0,2,495,576,1071,579,562,1141
10330,262937,0,1,22,16,0,1,1,5.563889027,0,0,2,451,528,979,564,545,1109
10331,221571,0,0,23,22,0,0,1,5.719444275,0,0,3,413,468,881,536,535,1071
10333,205491,0,0,23,22,0,1,0,5.183333397,0,1,2,398,444,842,487,481,968
10334,218562,1,1,13,14,0,1,1,5.541666508,0,0,4,483,506,989,629,578,1207
10379,162184,1,1,12,14,0,1,0,6.927777767,0,0,3,431,500,931,604,553,1157
10384,244736,0,0,19,22,0,0,1,5.661110878,0,0,1,472,536,1008,471,500,971
10389,244796,1,1,12,17,1,0,1,5.766666889,0,0,1,NA,NA,NA,431,474,905
10391,244796,1,0,12,17,0,0,1,7.063889027,0,0,1,416,439,855,527,535,1062
10395,162184,1,1,12,13,0,1,1,5.608333111,0,0,3,445,468,913,590,538,1128
10396,244796,1,0,12,17,0,0,1,6.930555344,0,0,1,428,489,917,516,532,1048
10399,244776,1,1,17,17,0,0,1,5.830555439,0,0,1,NA,NA,NA,442,439,881
10425,159171,0,0,27,23,0,0,1,5.261111259,0,0,3,467,489,956,475,515,990
10432,169229,1,1,17,17,1,1,0,5.708333492,0,0,2,461,559,1020,521,512,1033
10473,244723,0,1,25,15,1,0,1,8,0,0,1,414,463,877,487,497,984
10481,215533,1,1,14,16,1,1,0,6.486111164,1,0,3,433,489,922,490,523,1013
10486,169229,0,0,22,21,1,1,1,5.805555344,0,0,2,451,506,957,558,538,1096
10491,244806,0,0,25,23,1,0,1,5.680555344,0,0,1,485,536,1021,524,523,1047
10764,169280,0,1,21,16,1,1,0,6.824999809,0,0,2,461,536,997,604,567,1171
10766,180344,0,0,27,22,1,1,1,5.797222137,0,0,4,414,454,868,428,425,853
10767,201449,0,0,21,25,1,1,1,7.033333302,0,0,3,451,547,998,553,557,1110
10783,257905,0,0,21,22,1,1,0,5.425000191,0,0,4,448,494,942,590,592,1182
10805,215533,0,0,24,22,0,1,1,7.327777863,0,0,3,NA,NA,NA,NA,NA,NA
10817,244755,0,0,22,21,1,0,1,6.677777767,0,0,1,440,439,879,519,477,996
10845,244708,0,0,21,24,0,0,1,8.069444656,0,0,1,NA,NA,NA,483,532,1015
10857,201449,0,1,21,17,0,1,1,7.461111069,1,0,3,419,434,853,483,486,969
10923,193423,1,1,17,14,0,1,1,7.872222424,0,0,3,NA,NA,NA,421,436,857
10935,169229,0,0,22,21,1,1,0,7.997222424,1,0,2,440,484,924,428,488,916
10960,112038,0,0,19,28,1,1,1,8.002778053,0,0,4,390,444,834,419,446,865
10961,112038,0,0,19,28,1,1,1,8.024999619,0,0,4,402,478,880,456,495,951
10975,112038,0,0,19,28,1,1,1,8.033333778,0,0,4,408,429,837,468,463,931
10984,189378,0,0,20,23,0,1,0,7.938889027,1,0,3,436,459,895,524,505,1029
10987,205488,0,1,24,15,0,1,1,8.011111259,1,1,2,428,459,887,475,481,956
10998,221571,0,0,23,23,0,0,1,7.030555725,0,0,3,398,384,782,425,444,869
11004,215533,0,0,23,23,0,0,1,8.016666412,1,0,3,382,405,787,NA,428,NA
11018,225585,0,0,22,26,1,1,0,7.988888741,1,0,3,421,500,921,441,495,936
11025,189382,0,0,24,22,0,1,1,8.06111145,1,1,2,424,444,868,472,465,937
11040,244764,0,0,21,19,0,0,1,8.002778053,0,0,1,413,468,881,431,444,875
11046,112038,0,0,19,28,0,1,1,8.080555916,1,0,4,405,429,834,431,479,910
11049,257905,0,0,21,23,1,1,1,7.516666889,1,1,4,418,434,852,441,NA,NA
11069,244774,0,0,26,26,1,0,1,7.136111259,0,0,1,428,439,867,NA,NA,NA
11077,169229,0,0,25,22,1,1,0,6.963889122,0,0,2,447,528,975,514,572,1086
11079,169229,0,0,25,22,0,1,0,6.961111069,0,0,2,NA,NA,NA,505,567,1072
11086,244697,0,0,27,22,0,0,1,6.947222233,0,0,1,443,494,937,533,592,1125
11089,201449,0,0,22,25,1,1,1,6.636111259,1,0,3,428,489,917,477,520,997
11094,244801,1,1,15,17,0,1,0,6.997222424,0,0,2,436,506,942,530,532,1062
11099,191411,0,0,17,22,1,1,1,6.13055563,1,0,3,414,449,863,NA,479,NA
11106,244780,0,0,23,25,0,0,1,7.072222233,0,0,1,440,559,999,465,490,955
11117,208501,0,1,22,17,1,1,1,6.150000095,1,0,3,407,473,880,468,510,978
11124,215533,0,0,24,22,1,0,1,6.158333302,1,0,3,437,506,943,492,549,1041
11128,201449,0,0,21,25,1,0,0,6.111111164,1,0,3,398,434,832,NA,422,NA
11132,244708,0,0,21,22,0,0,NA,6.263888836,NA,0,1,NA,NA,NA,505,502,1007
11140,244745,0,1,27,18,1,1,1,5.969444275,0,0,2,456,602,1058,579,553,1132
11144,218562,0,0,17,24,1,1,1,6.191666603,1,0,4,436,468,904,469,481,950
11147,257899,0,0,23,22,1,1,0,7.022222042,0,0,3,NA,NA,NA,544,538,1082
11151,203452,0,0,19,23,1,1,0,6.727777958,1,0,3,461,559,1020,604,572,1176
11152,205490,1,1,15,17,0,0,1,6.988888741,0,0,1,419,439,858,477,507,984
11156,205488,0,0,24,19,1,1,1,6.788888931,1,1,2,433,444,877,NA,454,NA
11157,252885,0,0,20,27,0,1,0,6.127777576,1,0,3,485,513,998,494,520,1014
11160,244755,1,0,15,23,1,0,1,6.388888836,0,0,1,458,602,1060,428,470,898
11162,257899,0,0,24,22,1,1,1,6.091666698,1,1,3,405,429,834,NA,479,NA
11170,112038,0,0,19,28,1,1,1,6.177777767,1,0,4,410,468,878,444,479,923
11171,112038,0,0,19,28,0,0,1,6.163888931,1,0,4,408,449,857,441,458,899
11177,205490,0,0,24,24,1,0,1,6.952777863,0,0,1,433,494,927,527,653,1180
11178,205490,0,0,24,24,1,0,1,6.958333492,0,0,1,433,463,896,533,545,1078
11179,244776,0,0,23,22,1,0,1,6.413888931,1,0,1,450,468,918,475,479,954
11184,234628,0,0,22,22,1,1,0,6.219444275,1,0,3,456,439,895,453,497,950
11187,205492,1,1,17,18,0,0,0,6.980555534,0,0,2,436,484,920,483,510,993
11188,205490,0,0,24,24,1,0,1,5.983333111,0,0,1,NA,NA,NA,651,601,1252
11193,205492,0,0,23,29,0,0,1,7.002777576,0,0,2,436,473,909,474,542,1016
11197,205488,0,1,24,15,0,1,0,7.00555563,0,0,2,458,576,1034,629,627,1256
11202,205490,0,0,24,24,0,0,1,7.013888836,0,0,1,410,439,849,536,584,1120
11203,205492,1,0,16,24,0,0,1,7.019444466,0,0,2,485,506,991,512,500,1012
11206,203452,0,0,19,24,1,1,0,7.033333302,0,0,3,460,602,1062,553,612,1165
11208,161183,0,0,21,20,0,1,1,7.036110878,0,0,3,453,528,981,629,578,1207
11210,128079,1,1,16,16,0,1,0,7.058333397,0,0,3,580,500,1080,629,529,1158
11211,161183,0,0,22,21,0,1,0,7.074999809,0,0,3,443,506,949,533,592,1125
